#CODE;UKRAINIAN;x
haughty;Haughty;x
#haughty_desc;This child is proud and vain, convinced of their own superiority.;x
affectionate;Affectionate;x
#affectionate_desc;This child is kind and is quick to show love and affection.;x
timid;Timid;x
#timid_desc;This child is shy and quiet and usually avoids open conflicts.;x
rowdy;Rowdy;x
#rowdy_desc;This child is loud and lively and usually prefers rough physical activity over calmer pursuits.;x
willful;Willful;x
#willful_desc;This child is stubborn and strong-willed, and doesn't obey or give way easily.;x
brooding;Brooding;x
#brooding_desc;This child is a quiet thinker, often sitting inside in deep ponderings as others play outside in the sun.;x
indolent;Indolent;x
#indolent_desc;This child is very averse to any kind of exertion, be it mental or physical.;x
playful;Playful;x
#playful_desc;This child loves to engage in fun and games, almost always turning any activity into an excuse to play.;x
conscientious;Conscientious;x
#conscientious_desc;This child is unusually scrupulous and responsible, taking delight in completing any chores and tasks to perfection.;x
fussy;Fussy;x
#fussy_desc;This child is very particular about details which seem trivial to others, sometimes to the point of causing anxiety and frustration.;x
curious;Curious;x
#curious_desc;This child has an inquisitive nature and is constantly asking questions and poking around looking for new and interesting things.;x
idolizer;Idolizer;x
#idolizer_desc;This child is easily impressed and also has a fervent desire to seek for ultimate truths.;x
no_objective_title;No Focus Chosen;x
focus_ch_pride;Pride;x
focus_ch_pride_title;Pride;x
focus_ch_pride_desc;[This.GetTitledFirstName] is tutored by councillors and noblemen, being groomed for rulership. Common trait outcomes for this Focus are §YHaughty§! and §YBrooding§!.;x
focus_ch_humility;Humility;x
focus_ch_humility_title;Humility;x
focus_ch_humility_desc;[This.GetTitledFirstName] is tutored by servants at court, focusing on service and humility. Common trait outcomes for this Focus are §YTimid§! and §YAffectionate§!.;x
focus_ch_duty;Duty;x
focus_ch_duty_title;Duty;x
focus_ch_duty_desc;[This.GetTitledFirstName] is tutored by guards and retainers at court, focusing on duty and diligence. A common trait outcome for this Focus is §YConscientious§!.;x
focus_ch_etiquette;Etiquette;x
focus_ch_etiquette_title;Etiquette;x
focus_ch_etiquette_desc;[This.GetTitledFirstName] is tutored by councillors and other courtiers, focusing on courteous behavior and etiquette. Common trait outcomes for this Focus are §YPlayful§! and §YIndolent§!.;x
focus_ch_thrift;Thrift;x
focus_ch_thrift_title;Thrift;x
focus_ch_thrift_desc;[This.GetTitledFirstName] is tutored by artisans and merchants, focusing on mathematics and invention. Common trait outcomes for this Focus are §YCurious§! and §YFussy§!.;x
focus_ch_faith;Faith;x
focus_ch_faith_title;Faith;x
focus_ch_faith_desc;[This.GetTitledFirstName] is tutored by priests, focusing on the §Y[This.Educator.Religion.GetName]§! faith and religious learning. A common trait outcome for this Focus is §YIdolizer§!.;x
